Country,Name,Ticker,Quartr Id,GICS Industries,ISIN,Segment Data
AE,Abu Dhabi Future Energy Company PJSC,MASDAR,16610,,,false
AE,Abu Dhabi National Energy Company PJSC,TAQA,20076,,AEA002401015,false
AE,Abu Dhabi National Oil Company for Distribution PJSC,ADNOCDIST,17652,,AEA006101017,false
AE,Abu Dhabi Ports Company PJSC,ADPORTS,16704,,AEA004601018,false
AE,ADNOC Drilling Company P.J.S.C.,ADNOCDRILL,17646,,AEA007301012,false
AE,ADNOC Gas plc,ADNOCGAS,16701,,AEE01195A234,false
AE,ADNOC Logistics & Services plc,ADNOCLS,17665,,AEE01268A239,false
AE,Americana Restaurants International PLC,AMR,17625,,AEE01135A222,false
AE,Borouge plc,BOROUGE,17649,,AEE01072B225,false
AE,DANA GAS PJSC,DANA,17654,,AED000701014,false
AE,Emirates Central Cooling Systems Corporation,EMPOWER,16702,,AEE01134E227,false
AE,Emirates NBD Bank PJSC,EMIRATESNBD,19893,,AEE000801010,false
AE,Fertiglobe plc,FERTIGLB,17655,,AEF000901015,false
AE,First Abu Dhabi Bank P.J.S.C.,FAB,19836,,AEN000101016,false
AE,Mubadala,MUBADALA,16609,,,false
AE,Parkin Company P.J.S.C.,PARKIN,17863,,AEE01370P249,false
AE,Salik Company P.J.S.C,SALIK,16703,,AEE01110S227,false
AE,Talabat Holding plc,TALABAT,19313,,AEE01569T248,false
AR,Banco BBVA Argentina S.A,BBAR,16665,,US0589341009 | ARP125991090,false
AR,Grupo Financiero Galicia S.A.,GGAL,16666,,US3999091008 | ARP495251018,false
AR,Grupo Supervielle S A,SUPV,18663,,US40054A1088 | ARGRSU300079,false
AR,Transportadora de Gas del Sur S.A.,TGSU2,18797,,ARP9308R1039 | US8938702045,false
AT,Addiko Bank AG,ADKO,16190,,AT000ADDIKO0,false
AT,Adler Group S.A.,ADJ,16662,,LU1250154413,false
AT,AGRANA Beteiligungs-Aktiengesellschaft,AGR,15694,,AT000AGRANA3,false
AT,AMAG Austria Metall AG,AMAG,16554,,AT00000AMAG3,false
AT,Andritz AG,ANDR,14854,,AT0000730007,false
AT,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS,16367,,AT0000969985,false
AT,BAWAG Group AG,BG,15085,,AT0000BAWAG2 | US07178A1088,false
AT,CA Immobilien Anlagen AG,CAI,16149,,AT0000641352,false
AT,DO & CO Aktiengesellschaft,DOC,15039,,AT0000818802,false
AT,Erste Group Bank AG,EBS,15325,,US2960363040 | AT0000652011,false
AT,EuroTeleSites AG,ETS,16600,,AT000000ETS9,false
AT,EVN AG,EVN,15327,,AT0000741053,false
AT,FACC AG,FACC,20085,,AT00000FACC2,false
AT,Kapsch TrafficCom AG,KTCG,16571,,AT000KAPSCH9,false
AT,Lenzing AG,LNZ,16399,,AT0000644505 | US5263603004,false
